fates_pft,clm_pft
broadleaf_evergreen_tropical_tree,broadleaf_evergreen_tropical_tree
needleleaf_evergreen_extratrop_tree,"needleleaf_evergreen_boreal_tree,needleleaf_evergreen_temperate_tree"
needleleaf_colddecid_extratrop_tree,needleleaf_deciduous_boreal_tree
broadleaf_evergreen_extratrop_tree,broadleaf_evergreen_temperate_tree
broadleaf_hydrodecid_tropical_tree,broadleaf_deciduous_tropical_tree
broadleaf_colddecid_extratrop_tree,"broadleaf_deciduous_boreal_tree,broadleaf_deciduous_temperate_tree"
broadleaf_evergreen_extratrop_shrub,broadleaf_evergreen_shrub
broadleaf_hydrodecid_extratrop_shrub,"broadleaf_deciduous_boreal_shrub,broadleaf_deciduous_temperate_shrub"
broadleaf_colddecid_extratrop_shrub,"broadleaf_deciduous_boreal_shrub,broadleaf_deciduous_temperate_shrub"
arctic_c3_grass,c3_arctic_grass
cool_c3_grass,c3_non-arctic_grass
c4_grass,c4_grass
,
,
