pftnum,pftname,medlynslope_min,medlynslope_max
0,not_vegetated,9,9
1,needleleaf_evergreen_temperate_tree,1.29,4.7
2,needleleaf_evergreen_boreal_tree,1.29,4.7
3,needleleaf_deciduous_boreal_tree,1.29,4.7
4,broadleaf_evergreen_tropical_tree,1.63,4.59
5,broadleaf_evergreen_temperate_tree,1.63,4.59
6,broadleaf_deciduous_tropical_tree,3.19,5.11
7,broadleaf_deciduous_temperate_tree,3.19,5.11
8,broadleaf_deciduous_boreal_tree,3.19,5.11
9,broadleaf_evergreen_shrub,2.25,9.27
10,broadleaf_deciduous_temperate_shrub,2.25,9.27
11,broadleaf_deciduous_boreal_shrub,2.25,9.27
12,c3_arctic_grass,2,2.44
13,c3_non-arctic_grass,3.05,9.45
14,c4_grass,0.53,4.03
15,c3_crop,3.46,7.7
16,c3_irrigated,3.46,7.7
17,temperate_corn,0.53,4.03
18,irrigated_temperate_corn,0.53,4.03
19,spring_wheat,3.46,7.7
20,irrigated_spring_wheat,3.46,7.7
21,winter_wheat,3.46,7.7
22,irrigated_winter_wheat,3.46,7.7
23,temperate_soybean,3.46,7.7
24,irrigated_temperate_soybean,3.46,7.7
25,barley,3.46,7.7
26,irrigated_barley,3.46,7.7
27,winter_barley,3.46,7.7
28,irrigated_winter_barley,3.46,7.7
29,rye,3.46,7.7
30,irrigated_rye,3.46,7.7
31,winter_rye,3.46,7.7
32,irrigated_winter_rye,3.46,7.7
33,cassava,3.46,7.7
34,irrigated_cassava,3.46,7.7
35,citrus,3.46,7.7
36,irrigated_citrus,3.46,7.7
37,cocoa,3.46,7.7
38,irrigated_cocoa,3.46,7.7
39,coffee,3.46,7.7
40,irrigated_coffee,3.46,7.7
41,cotton,3.46,7.7
42,irrigated_cotton,3.46,7.7
43,datepalm,3.46,7.7
44,irrigated_datepalm,3.46,7.7
45,foddergrass,3.46,7.7
46,irrigated_foddergrass,3.46,7.7
47,grapes,3.46,7.7
48,irrigated_grapes,3.46,7.7
49,groundnuts,3.46,7.7
50,irrigated_groundnuts,3.46,7.7
51,millet,3.46,7.7
52,irrigated_millet,3.46,7.7
53,oilpalm,3.46,7.7
54,irrigated_oilpalm,3.46,7.7
55,potatoes,3.46,7.7
56,irrigated_potatoes,3.46,7.7
57,pulses,3.46,7.7
58,irrigated_pulses,3.46,7.7
59,rapeseed,3.46,7.7
60,irrigated_rapeseed,3.46,7.7
61,rice,3.46,7.7
62,irrigated_rice,3.46,7.7
63,sorghum,3.46,7.7
64,irrigated_sorghum,3.46,7.7
65,sugarbeet,3.46,7.7
66,irrigated_sugarbeet,3.46,7.7
67,sugarcane,0.53,4.03
68,irrigated_sugarcane,0.53,4.03
69,sunflower,3.46,7.7
70,irrigated_sunflower,3.46,7.7
71,miscanthus,3.46,7.7
72,irrigated_miscanthus,3.46,7.7
73,switchgrass,3.46,7.7
74,irrigated_switchgrass,3.46,7.7
75,tropical_corn,0.53,4.03
76,irrigated_tropical_corn,0.53,4.03
77,tropical_soybean,3.46,7.7
78,irrigated_tropical_soybean,3.46,7.7
