pftnum,pftname,rholnir_min,rholnir_max
0,not_vegetated,0,0
1,needleleaf_evergreen_temperate_tree,0.31,0.51
2,needleleaf_evergreen_boreal_tree,0.33,0.49
3,needleleaf_deciduous_boreal_tree,0.37,0.41
4,broadleaf_evergreen_tropical_tree,0.42,0.5
5,broadleaf_evergreen_temperate_tree,0.42,0.5
6,broadleaf_deciduous_tropical_tree,0.35,0.47
7,broadleaf_deciduous_temperate_tree,0.36,0.48
8,broadleaf_deciduous_boreal_tree,0.34,0.46
9,broadleaf_evergreen_shrub,0.35,0.47
10,broadleaf_deciduous_temperate_shrub,0.35,0.47
11,broadleaf_deciduous_boreal_shrub,0.22,0.34
12,c3_arctic_grass,0.22,0.34
13,c3_non-arctic_grass,0.22,0.34
14,c4_grass,0.36,0.48
15,c3_crop,0.38,0.46
16,c3_irrigated,0.38,0.46
17,temperate_corn,0.38,0.46
18,irrigated_temperate_corn,0.38,0.46
19,spring_wheat,0.38,0.46
20,irrigated_spring_wheat,0.38,0.46
21,winter_wheat,0.38,0.46
22,irrigated_winter_wheat,0.38,0.46
23,temperate_soybean,0.38,0.46
24,irrigated_temperate_soybean,0.38,0.46
25,barley,0.38,0.46
26,irrigated_barley,0.38,0.46
27,winter_barley,0.38,0.46
28,irrigated_winter_barley,0.38,0.46
29,rye,0.38,0.46
30,irrigated_rye,0.38,0.46
31,winter_rye,0.38,0.46
32,irrigated_winter_rye,0.38,0.46
33,cassava,0.38,0.46
34,irrigated_cassava,0.38,0.46
35,citrus,0.38,0.46
36,irrigated_citrus,0.38,0.46
37,cocoa,0.38,0.46
38,irrigated_cocoa,0.38,0.46
39,coffee,0.38,0.46
40,irrigated_coffee,0.38,0.46
41,cotton,0.38,0.46
42,irrigated_cotton,0.38,0.46
43,datepalm,0.38,0.46
44,irrigated_datepalm,0.38,0.46
45,foddergrass,0.38,0.46
46,irrigated_foddergrass,0.38,0.46
47,grapes,0.38,0.46
48,irrigated_grapes,0.38,0.46
49,groundnuts,0.38,0.46
50,irrigated_groundnuts,0.38,0.46
51,millet,0.38,0.46
52,irrigated_millet,0.38,0.46
53,oilpalm,0.38,0.46
54,irrigated_oilpalm,0.38,0.46
55,potatoes,0.38,0.46
56,irrigated_potatoes,0.38,0.46
57,pulses,0.38,0.46
58,irrigated_pulses,0.38,0.46
59,rapeseed,0.38,0.46
60,irrigated_rapeseed,0.38,0.46
61,rice,0.38,0.46
62,irrigated_rice,0.38,0.46
63,sorghum,0.38,0.46
64,irrigated_sorghum,0.38,0.46
65,sugarbeet,0.38,0.46
66,irrigated_sugarbeet,0.38,0.46
67,sugarcane,0.38,0.46
68,irrigated_sugarcane,0.38,0.46
69,sunflower,0.38,0.46
70,irrigated_sunflower,0.38,0.46
71,miscanthus,0.38,0.46
72,irrigated_miscanthus,0.38,0.46
73,switchgrass,0.38,0.46
74,irrigated_switchgrass,0.38,0.46
75,tropical_corn,0.38,0.46
76,irrigated_tropical_corn,0.38,0.46
77,tropical_soybean,0.38,0.46
78,irrigated_tropical_soybean,0.38,0.46
