pftnum,pftname,rholvis_min,rholvis_max
0,not_vegetated,0,0
1,needleleaf_evergreen_temperate_tree,0.04,0.12
2,needleleaf_evergreen_boreal_tree,0.05,0.13
3,needleleaf_deciduous_boreal_tree,0.04,0.12
4,broadleaf_evergreen_tropical_tree,0.04,0.23
5,broadleaf_evergreen_temperate_tree,0.04,0.23
6,broadleaf_deciduous_tropical_tree,0.02,0.14
7,broadleaf_deciduous_temperate_tree,0.02,0.14
8,broadleaf_deciduous_boreal_tree,0.05,0.13
9,broadleaf_evergreen_shrub,0.07,0.15
10,broadleaf_deciduous_temperate_shrub,0.04,0.12
11,broadleaf_deciduous_boreal_shrub,0.04,0.12
12,c3_arctic_grass,0.01,0.09
13,c3_non-arctic_grass,0.01,0.09
14,c4_grass,0.01,0.09
15,c3_crop,0.04,0.12
16,c3_irrigated,0.04,0.12
17,temperate_corn,0.04,0.12
18,irrigated_temperate_corn,0.04,0.12
19,spring_wheat,0.04,0.12
20,irrigated_spring_wheat,0.04,0.12
21,winter_wheat,0.04,0.12
22,irrigated_winter_wheat,0.04,0.12
23,temperate_soybean,0.04,0.12
24,irrigated_temperate_soybean,0.04,0.12
25,barley,0.04,0.12
26,irrigated_barley,0.04,0.12
27,winter_barley,0.04,0.12
28,irrigated_winter_barley,0.04,0.12
29,rye,0.04,0.12
30,irrigated_rye,0.04,0.12
31,winter_rye,0.04,0.12
32,irrigated_winter_rye,0.04,0.12
33,cassava,0.04,0.12
34,irrigated_cassava,0.04,0.12
35,citrus,0.04,0.12
36,irrigated_citrus,0.04,0.12
37,cocoa,0.04,0.12
38,irrigated_cocoa,0.04,0.12
39,coffee,0.04,0.12
40,irrigated_coffee,0.04,0.12
41,cotton,0.04,0.12
42,irrigated_cotton,0.04,0.12
43,datepalm,0.04,0.12
44,irrigated_datepalm,0.04,0.12
45,foddergrass,0.04,0.12
46,irrigated_foddergrass,0.04,0.12
47,grapes,0.04,0.12
48,irrigated_grapes,0.04,0.12
49,groundnuts,0.04,0.12
50,irrigated_groundnuts,0.04,0.12
51,millet,0.04,0.12
52,irrigated_millet,0.04,0.12
53,oilpalm,0.04,0.12
54,irrigated_oilpalm,0.04,0.12
55,potatoes,0.04,0.12
56,irrigated_potatoes,0.04,0.12
57,pulses,0.04,0.12
58,irrigated_pulses,0.04,0.12
59,rapeseed,0.04,0.12
60,irrigated_rapeseed,0.04,0.12
61,rice,0.04,0.12
62,irrigated_rice,0.04,0.12
63,sorghum,0.04,0.12
64,irrigated_sorghum,0.04,0.12
65,sugarbeet,0.04,0.12
66,irrigated_sugarbeet,0.04,0.12
67,sugarcane,0.04,0.12
68,irrigated_sugarcane,0.04,0.12
69,sunflower,0.04,0.12
70,irrigated_sunflower,0.04,0.12
71,miscanthus,0.04,0.12
72,irrigated_miscanthus,0.04,0.12
73,switchgrass,0.04,0.12
74,irrigated_switchgrass,0.04,0.12
75,tropical_corn,0.04,0.12
76,irrigated_tropical_corn,0.04,0.12
77,tropical_soybean,0.04,0.12
78,irrigated_tropical_soybean,0.04,0.12
