pftnum,pftname,xl_min,xl_max
0,not_vegetated,0,0
1,needleleaf_evergreen_temperate_tree,-0.15,0.17
2,needleleaf_evergreen_boreal_tree,-0.15,0.17
3,needleleaf_deciduous_boreal_tree,-0.15,0.17
4,broadleaf_evergreen_tropical_tree,0.09,0.45
5,broadleaf_evergreen_temperate_tree,0.09,0.45
6,broadleaf_deciduous_tropical_tree,-0.42,0.84
7,broadleaf_deciduous_temperate_tree,-0.3,0.95
8,broadleaf_deciduous_boreal_tree,-0.3,0.95
9,broadleaf_evergreen_shrub,0.01,0.01
10,broadleaf_deciduous_temperate_shrub,0.25,0.25
11,broadleaf_deciduous_boreal_shrub,0.25,0.25
12,c3_arctic_grass,-0.02,0.54
13,c3_non-arctic_grass,-0.41,0.04
14,c4_grass,-0.41,0.04
15,c3_crop,-0.02,0.54
16,c3_irrigated,-0.02,0.54
17,temperate_corn,-0.02,0.54
18,irrigated_temperate_corn,-0.02,0.54
19,spring_wheat,-0.02,0.54
20,irrigated_spring_wheat,-0.02,0.54
21,winter_wheat,-0.02,0.54
22,irrigated_winter_wheat,-0.02,0.54
23,temperate_soybean,-0.02,0.54
24,irrigated_temperate_soybean,-0.02,0.54
25,barley,-0.02,0.54
26,irrigated_barley,-0.02,0.54
27,winter_barley,-0.02,0.54
28,irrigated_winter_barley,-0.02,0.54
29,rye,-0.02,0.54
30,irrigated_rye,-0.02,0.54
31,winter_rye,-0.02,0.54
32,irrigated_winter_rye,-0.02,0.54
33,cassava,-0.02,0.54
34,irrigated_cassava,-0.02,0.54
35,citrus,-0.02,0.54
36,irrigated_citrus,-0.02,0.54
37,cocoa,-0.02,0.54
38,irrigated_cocoa,-0.02,0.54
39,coffee,-0.02,0.54
40,irrigated_coffee,-0.02,0.54
41,cotton,-0.02,0.54
42,irrigated_cotton,-0.02,0.54
43,datepalm,-0.02,0.54
44,irrigated_datepalm,-0.02,0.54
45,foddergrass,-0.02,0.54
46,irrigated_foddergrass,-0.02,0.54
47,grapes,-0.02,0.54
48,irrigated_grapes,-0.02,0.54
49,groundnuts,-0.02,0.54
50,irrigated_groundnuts,-0.02,0.54
51,millet,-0.02,0.54
52,irrigated_millet,-0.02,0.54
53,oilpalm,-0.02,0.54
54,irrigated_oilpalm,-0.02,0.54
55,potatoes,-0.02,0.54
56,irrigated_potatoes,-0.02,0.54
57,pulses,-0.02,0.54
58,irrigated_pulses,-0.02,0.54
59,rapeseed,-0.02,0.54
60,irrigated_rapeseed,-0.02,0.54
61,rice,-0.02,0.54
62,irrigated_rice,-0.02,0.54
63,sorghum,-0.02,0.54
64,irrigated_sorghum,-0.02,0.54
65,sugarbeet,-0.02,0.54
66,irrigated_sugarbeet,-0.02,0.54
67,sugarcane,-0.02,0.54
68,irrigated_sugarcane,-0.02,0.54
69,sunflower,-0.02,0.54
70,irrigated_sunflower,-0.02,0.54
71,miscanthus,-0.02,0.54
72,irrigated_miscanthus,-0.02,0.54
73,switchgrass,-0.02,0.54
74,irrigated_switchgrass,-0.02,0.54
75,tropical_corn,-0.02,0.54
76,irrigated_tropical_corn,-0.02,0.54
77,tropical_soybean,-0.02,0.54
78,irrigated_tropical_soybean,-0.02,0.54
